id,network,name,state,lat,lon,elevation
02062,rr,Hattingen-Holthausen,Nordrhein-Westfalen,51.3845,7.2136,164
02064,rr,Haundorf-Obererlbach,Bayern,49.184,10.8243,449
02066,rr,Haunetal-Wehrda,Hessen,50.7384,9.6607,257
02068,rr,Selke-Aue-Hausneindorf,Sachsen-Anhalt,51.8426,11.2742,116
02070,rr,Havelberg,Sachsen-Anhalt,52.8388,12.0621,34
02073,rr,Südharz-Hayn/Harz,Sachsen-Anhalt,51.5683,11.0815,434
02074,kl,Hechingen,Baden-Württemberg,48.3752,8.98,518
02079,rr,Heideck,Bayern,49.1436,11.1609,390
02088,rr,Heidenheim/Brenz,Baden-Württemberg,48.6849,10.142,522
02096,rr,Heilbronn-Klingenberg,Baden-Württemberg,49.1181,9.1539,203
02099,rr,Heiligenhaus-Abtsküche,Nordrhein-Westfalen,51.3392,6.9941,131
02103,rr,Heilsbronn,Bayern,49.3343,10.7845,423
02104,rr,Heimbach-Düttling,Nordrhein-Westfalen,50.6086,6.5495,385
02109,rr,Heinrichsthal,Bayern,50.0664,9.3458,446
02110,kl,Heinsberg-Schleiden,Nordrhein-Westfalen,51.0411,6.1042,57
02113,rr,Heldenstein-Weidenbach,Bayern,48.2529,12.3395,431
02115,kl,Helgoland,Schleswig-Holstein,54.175,7.892,4
02117,rr,Hellenthal-Udenbreth,Nordrhein-Westfalen,50.4104,6.3901,650
02118,rr,Heldburg-Hellingen,Thüringen,50.2553,10.6832,302
02119,rr,Helmbrechts,Bayern,50.238,11.7033,650
02123,rr,Hemau-Aichkirchen,Bayern,49.0098,11.7544,564
02132,rr,Hengersberg-Unterfrohnstetten,Bayern,48.814,13.0466,368
02135,rr,Hennef-Lückert,Nordrhein-Westfalen,50.726,7.3947,224
02139,rr,Heppenheim-Mittershausen,Hessen,49.6567,8.7139,270
02140,rr,Hepstedt,Niedersachsen,53.2604,9.0919,29
02146,rr,Heiligenberg/Tübingen,Baden-Württemberg,47.874,9.2447,652
02148,rr,Heringen/Werra,Hessen,50.8951,10.0111,215
02152,rr,Herleshausen-Archfeld,Hessen,51.0425,10.1468,380
02159,rr,Herrenberg,Baden-Württemberg,48.5915,8.8541,434
02168,rr,Hersbruck,Bayern,49.5053,11.4028,332
02170,rr,Weißenseifen,Rheinland-Pfalz,50.1499,6.5527,526
02171,kl,"Hersfeld, Bad",Hessen,50.852,9.7377,272
02174,kl,Herzberg,Niedersachsen,51.6255,10.3695,236
02175,rr,Herzberg-Lonau,Niedersachsen,51.689,10.3571,336
02178,rr,Herzogenaurach-Burgstall,Bayern,49.5491,10.8671,345
02181,rr,Hesel-Schwerinsdorf,Niedersachsen,53.3,7.6639,8
02184,rr,Hessisch Lichtenau-Fürstenhagen,Hessen,51.2099,9.6914,340
02192,rr,Hettstedt,Sachsen-Anhalt,51.6383,11.5047,152
02201,kl,Hiddensee-Vitte,Mecklenburg-Vorpommern,54.575,13.1044,1
02211,kl,Hilgenroth,Rheinland-Pfalz,50.737,7.6525,295
02213,rr,Lissendorf,Rheinland-Pfalz,50.3105,6.6236,407
02222,rr,Unterjoch,Bayern,47.5561,10.4274,1015
02233,rr,Hirschberg,Thüringen,50.404,11.8193,449
02235,rr,Hirschhorn (Neckar),Hessen,49.4523,8.9068,125
02249,rr,Höheischweiler,Rheinland-Pfalz,49.2287,7.5482,370
02252,kl,Bertsdorf-Hörnitz,Sachsen,50.8992,14.7456,271
02254,rr,Hörstel-Riesenbeck,Nordrhein-Westfalen,52.2396,7.6449,46
02255,rr,Sailauf,Bayern,50.0229,9.2599,200
02258,rr,Höxter-Lüchtringen,Nordrhein-Westfalen,51.7882,9.426,94
02261,kl,Hof,Bayern,50.3123,11.876,565
02262,rr,Hofbieber-Elters,Hessen,50.5782,9.8833,463
02266,rr,Hofheim/Taunus,Hessen,50.0802,8.4346,172
02268,rr,Hofheim,Bayern,50.1351,10.5156,265
02272,rr,Ventschow,Mecklenburg-Vorpommern,53.7784,11.5595,44
02273,rr,Hohenahr (Leiterhof),Hessen,50.6602,8.5235,329
02274,rr,Hohenberg/Eger,Bayern,50.092,12.2134,518
02276,rr,Märkische Heide-Hohenbrück-Neu Schadow,Brandenburg,52.0962,13.9073,46
02278,rr,Hohenbucko,Brandenburg,51.764,13.47,131
02284,rr,Schönhausen (Elbe),Sachsen-Anhalt,52.5812,12.0422,33
02288,rr,Hohenmölsen-Webau,Sachsen-Anhalt,51.1755,12.0766,141
02290,kl,Hohenpeißenberg,Bayern,47.8009,11.0108,977
02293,rr,Hohenstein-Breithardt,Hessen,50.1918,8.0888,315
02294,rr,Hohenthann,Bayern,48.6572,12.0887,468
02296,rr,Hohenwarth,Bayern,49.2018,12.921,466
02303,kl,Hohn,Schleswig-Holstein,54.3162,9.5385,10
02306,kl,Hohwacht,Schleswig-Holstein,54.3194,10.6732,8
02315,kl,Holzdorf-Bernsdorf,Brandenburg,51.7657,13.1666,78
02316,rr,Loose,Schleswig-Holstein,54.5352,9.9006,31
02317,rr,Rechenberg-Bienenmühle-Holzhau,Sachsen,50.7225,13.598,760
02319,kl,Holzkirchen,Bayern,47.8823,11.6961,685
02323,kl,"Bevern, Kr. Holzminden",Niedersachsen,51.8529,9.4953,110
02329,rr,"Homburg, Bad (Filterwerk)",Hessen,50.2446,8.5725,255
02331,rr,Homburg/Saar,Saarland,49.3278,7.3533,235
02332,rr,"Honnef, Bad",Nordrhein-Westfalen,50.65,7.2158,58
02340,rr,Horb-Betra,Baden-Württemberg,48.4095,8.6594,544
02346,rr,Horn-Bad Meinberg - Leopoldstal,Nordrhein-Westfalen,51.8416,8.9695,242
02349,kl,Hornisgrinde,Baden-Württemberg,48.6136,8.2033,1138
02355,rr,Hude/Oldenburg,Niedersachsen,53.1228,8.4205,4
02358,rr,Hückeswagen (Bevertalsperre),Nordrhein-Westfalen,51.1431,7.3667,297
02359,rr,Hüfingen-Fürstenberg,Baden-Württemberg,47.8904,8.5531,786
02362,kl,Hümmerich,Rheinland-Pfalz,50.5651,7.4843,331
02372,rr,Stützengrün-Hundshübel,Sachsen,50.5467,12.5707,605
02376,rr,Büchlberg-Tannöd,Bayern,48.6549,13.5077,455
02377,kl,Kandern-Gupf,Baden-Württemberg,47.7001,7.5895,362
02385,kl,Idar-Oberstein,Rheinland-Pfalz,49.6927,7.3263,376
02386,rr,Idstein,Hessen,50.2471,8.2553,246
02387,rr,Buchloe,Bayern,48.0443,10.7375,622
