station,temp_mean,temp_max,temp_min,precipitation,wind_max,wind_mean,sunshine,cloud,pressure,humidity,snow
00817,18.4,23.6,11.9,0,,,,,,73.92,
00820,,,,0,,,,,,,0
00822,,,,0,,,,,,,0
00827,,,,0,,,,,,,0
00831,,,,0,,,,,,,0
00833,,,,0,,,,,,,
00836,,,,0,,,,,,,0
00837,,,,0,,,,,,,
00839,,,,0,,,,,,,
00840,13.5,18.5,9.4,0,10,1.9,,3.1,915.12,74.29,0
00845,,,,0,,,,,,,0
00848,,,,0,,,,,,,
00850,17.2,,,0,,,,4.8,1011.38,73.71,0
00851,,,,0,,,,,,,0
00853,16.3,21.7,11.1,0,10.1,3.9,14.517,1.5,968.51,66.21,0
00856,19.5,24.8,14.6,0,10,2.2,8.15,4.2,953.33,68.33,0
00857,,,,0,,,,,,,
00860,17,23.7,11.9,0.3,,,,,,78.08,
00867,18,24.2,11.3,0,8.3,2.6,8.85,3.2,977.1,70.83,0
00870,,,,0,,,,,,,0
00871,,,,0,,,,,,,
00874,,,,0,,,,,,,
00880,18.7,25.2,13.2,0,10.4,3,,2.6,1007.14,61.21,0
00882,,,,0,,,,,,,0
00885,,,,0,,,,,,,
00891,17.4,19.3,16.3,0,10.6,5.2,,7.8,1017.39,79.96,0
00896,17.7,22.9,12.3,0,,,,,,72.42,
00902,,,,0,,,,,,,
00911,,,,0,,,,,,,0
00917,20.9,28.2,12.8,0,,,,,,64.42,
00922,,,,0,,,,,,,
00923,,,,0,,,,,,,0
00931,,,,0,,,,,,,
00933,,,,0,,,,,,,
00934,,,,0,,,,,,,
00936,,,,0,,,,,,,0
00939,,,,0,,,,,,,0
00942,,,,0,,,,,,,
00945,,,,0,,,,,,,0
00952,,,,0,,,,,,,0
00953,20.5,27.3,12.9,0,8,2.5,14.583,0.1,962.22,61.75,0
00958,,,,0,,,,,,,0
00961,,,,0,,,,,,,
00962,,,,0,,,,,,,
00963,19.3,25.2,15.4,0,7.6,2.8,5.867,6.1,1013.48,71.79,0
00966,,,,0,,,,,,,
00970,,,,0,,,,,,,
00973,,,,0,,,,,,,0
00974,,,,0,,,,,,,
00978,,,,0,,,,,,,
00983,20.2,26.9,13.1,0,,,,,,66.92,
00985,,,,0,,,,,,,
00988,,,,0,,,,,,,
00989,,,,0,,,,,,,
00991,16.2,21.9,10,0,,,,,,65,
01001,17.7,25.4,11.7,0,10.3,4,,2.5,1004.55,64.04,0
01011,,,,,9.7,3.3,,,,,
01013,,,,,6.1,1.6,,,,,
01014,,,,0,,,,,,,
01021,,,,0,,,,,,,0
01022,,,,0,,,,,,,0
01023,,,,0,,,,,,,
01024,,,,0,,,,,,,
01027,,,,0,,,,,,,0
01030,,,,0,,,,,,,
01039,,,,0,,,,,,,
01046,,,,0,,,,,,,
01048,17.6,23.5,12.2,0,,,15.5,0.9,989.06,60.79,0
01050,18.2,24.4,12.5,0,,,,,,61.08,
01052,16.6,22.6,11,0,,,,,,72.04,
01054,,,,0,,,,,,,0
01055,,,,0,,,,,,,
01056,,,,0,,,,,,,
01060,,,,0,,,,,,,0
01067,,,,0,,,,,,,
01072,22.7,29.6,14.3,0,,,,,,55.92,
01078,19.2,25.4,13.1,0,7.4,2.1,,2.8,1014.04,73.46,0
01090,,,,0,,,,,,,0
01092,,,,0,,,,,,,0
01094,,,,0,,,,,,,
01097,,,,0,,,,,,,0
01103,19.1,24.6,14.2,0,,,,,,66,
01107,17.1,24.6,10.8,0,,,,,,75.71,
01108,,,,0,,,,,,,0
01118,,,,0,,,,,,,0
01119,,,,0,,,,,,,
01130,,,,0,,,,,,,
01132,,,,0,,,,,,,
01140,,,,0,,,,,,,0
01143,,,,0,,,,,,,0
01153,,,,0,,,,,,,0
01158,,,,0,,,,,,,
01161,18.9,26.3,10.8,0,,,,,,65.67,
01162,,,,0,,,,,,,0
01166,,,,0,,,,,,,
01170,,,,0,,,,,,,
01176,,,,0,,,,,,,
01197,19.3,27.1,11,0,,,,,,62.88,
01200,16.6,18.1,14.8,0,9.2,4.6,,7.9,1017.23,83.96,0
01202,,,,0,,,,,,,0
01207,16.4,22.1,11.6,0,,,,,,71.63,
01214,23.5,30.3,14.7,0,,,,,,54.38,
01216,,,,0,,,,,,,
01223,,,,0,,,,,,,
01224,22.4,29.6,13.2,0,,,,,,61.25,
01227,,,,0,,,,,,,0
01230,,,,0,,,,,,,0
01232,,,,0,,,,,,,0
01235,,,,0,,,,,,,0
01237,,,,0,,,,,,,
01241,,,,0,,,,,,,
01244,,,,0,,,,,,,0
01246,18.5,24.3,14.5,0,,,,,,76.08,
01248,,,,0,,,,,,,0
01251,,,,0,,,,,,,0
01252,,,,0,,,,,,,0
01253,,,,0,,,,,,,
01255,21.5,28.7,12.5,0,,,,,,61.67,
01256,,,,0,,,,,,,0
01259,,,,0,,,,,,,0
01262,19.5,25.7,12.1,0,11,2.6,,2.8,965.15,65.79,0
01264,,,,0,,,,,,,0
01266,16.2,18.3,14.6,0,,,,,,84.46,
01270,16.5,20.9,12,0,8.6,3.6,,3.5,980.25,74.54,0
01277,,,,0,,,,,,,0
01278,,,,0.1,,,,,,,
01279,19.3,26,12.1,0,,,,,,65.04,
01282,,,,0,,,,,,,
01283,,,,0,,,,,,,0
01290,,,,0,,,,,,,
